Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,1062,1176,1324,1434,1989,904,898,1466,1395,1460,1960,2161,1932,2172,2050,2254,2209,2102,2123,1961,1992,1689,1106,989,869,855,785,792,754,781,704,616,535,473,513,561,513,548,558,559,565,594,608,620
Albania,4455,4446,5058,4659,4875,5037,5419,5725,6430,7561,7659,6660,6863,7382,7996,7606,7678,7670,7902,7628,6393,4260,2339,2185,2338,2070,2068,1596,1839,3158,3275,3509,4150,4303,3845,4730,4389,4431,4369,4227,4505,4869,4739,4875
Algeria,19383,21831,31069,40176,35373,33310,41740,45957,51307,53420,53818,53079,56398,59715,61508,68398,72531,70744,72027,72410,69557,73853,79644,80509,77978,80443,79434,78217,78786,81663,82724,81523,83695,88875,89276,93457,98427,102106,106292,112541,114300,117063,126732,132411
American Samoa,6,6,6,7,7,7,7,7,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,11,12,12,12,12,13,14,16,17,17,18,18,18,19,19,19,20,20,21,21,21
Angola,8707,8653,9700,9813,10032,9588,8545,9216,10556,10520,10589,10248,9858,10051,10015,10676,10726,10729,11243,11342,11019,11217,11219,11433,10788,12151,14625,15281,15784,16671,15525,15332,15141,16483,17430,15886,15840,16476,16306,17289,18628,20824,21641,22286
Antigua and Barbuda,219,218,260,280,244,291,255,281,272,266,262,380,496,368,403,310,286,286,332,318,320,321,318,306,326,336,333,305,320,343,338,337,343,353,381,385,393,406,418,429,440,456,466,467
Argentina,87827,88201,89271,93049,93072,91198,96277,99976,99738,105341,103257,101103,99076,101214,99946,94133,105084,105527,115424,113518,106852,111169,113742,116548,120621,120977,132667,133201,146510,149652,148876,137529,125670,135478,154388,157983,168691,176342,176713,168523,171718,175834,181266,185878
Armenia,4247,4271,4544,5076,5592,9133,9418,9882,10367,10905,11934,12494,13162,13298,13453,13739,13948,13898,14210,13900,20919,21782,11138,5281,2955,3684,2808,3491,3625,3264,3729,3795,3264,3635,3868,4494,4504,5133,8012,6621,6369,7327,7161,6853
Aruba,30,31,31,31,31,31,118,121,341,391,406,499,543,510,550,620,416,594,575,609,616,625,662,684,698,701,185,913,166,153,249,244,256,256,256,262,281,317,338,363,389,404,413,413
Australia,156597,158357,164333,173966,183437,190600,193508,206696,202995,208683,219222,220429,226956,213215,219989,234183,234972,235098,254887,270237,274313,275907,279930,284320,287347,295186,311019,328128,348047,354939,356605,359088,370401,375725,395422,414280,418824,420641,436467,433418,433619,434427,406376,394843
Austria,52855,55387,57750,61048,58455,56242,61370,58666,60789,63234,61312,58046,55886,55889,57720,59161,57954,57954,57178,57226,62747,66485,61588,61638,62144,64934,69240,68644,70139,68094,66931,70605,72166,77305,81451,82725,80587,78157,79357,72494,78777,77125,75378,76420
Azerbaijan,17863,17899,19154,21481,23776,31202,32273,33724,35275,37038,39490,43637,44809,46126,46922,48073,48822,48787,50861,50522,63719,65066,43200,40374,36930,31455,28195,26806,28421,28279,30198,28139,26941,30042,30244,32387,31742,27238,33738,28620,28536,30999,32761,34182
Bahamas,3430,3516,4009,4367,3577,4272,3749,4078,4434,4241,4036,5725,4898,4316,4074,3184,2888,2893,3049,3243,3272,3145,2753,2635,2851,3184,3496,3175,3400,3329,2930,2874,2988,3276,3448,3458,3662,3816,3963,4131,4300,4467,4565,4569
Bahrain,3004,3024,3613,4554,5365,5538,6009,6628,7013,7487,7592,8125,8563,8896,9156,10859,12454,12298,12338,12222,12638,12326,12871,12821,12865,12988,13531,14353,15215,15359,15539,16282,17104,17609,18455,20258,21752,23113,25586,26133,27041,26778,27797,28962
Bangladesh,3215,3182,3289,3853,4219,4937,5316,5526,5904,6537,7385,7150,7795,7357,7530,8743,9743,9607,11322,12421,13201,12388,13600,14277,15554,19411,19783,21589,21875,23351,25310,29940,31062,32388,33968,35006,36732,40613,44215,47114,48958,50013,52343,53825
Barbados,547,546,599,671,552,695,655,697,760,700,702,949,947,1117,1167,1150,1151,1127,1012,1005,1001,1046,1040,940,904,909,893,946,1028,1125,1123,1057,1103,1085,1123,1152,1154,1198,1210,1233,1267,1312,1314,1326
Belarus,67882,68018,72780,78005,81424,92903,95422,100216,103275,108688,111728,113812,111277,109667,106652,104441,102654,101919,106992,104413,105098,103934,95260,80720,69462,60864,61443,62527,60400,58154,57582,56272,57749,57464,60258,63590,67316,67874,72319,72137,77741,78143,78560,79100
